Price,Number of products sold,Revenue generated,Stock levels,Lead times,Order quantities,Shipping costs,Availability,Shipping times,inventory_risk_label,delivery_delay,Availability_normalized,Number of products sold_normalized,Revenue generated_normalized,Stock levels_normalized,Lead times_normalized,Order quantities_normalized,Shipping costs_normalized,Price_normalized
308.1009546027193,910,280371.8686884746,471,22,24,19.017788783252147,66,19,Moderate Risk,0,0.66,0.91,5.607437373769492,0.942,0.7333333333333333,0.24,0.3803557756650429,0.6162019092054386
141.46798187599265,894,126472.37579713743,106,22,93,17.55302895862984,24,30,Normal,1,0.24,0.894,2.5294475159427487,0.212,0.7333333333333333,0.93,0.3510605791725968,0.2829359637519853
431.079627796453,34,14656.707345079401,274,8,45,5.210260622484656,29,18,Normal,1,0.29,0.034,0.293134146901588,0.548,0.26666666666666666,0.45,0.10420521244969311,0.862159255592906
261.96507342025996,40,10478.6029368104,299,26,66,41.37881423998119,17,24,Normal,0,0.17,0.04,0.209572058736208,0.598,0.8666666666666667,0.66,0.8275762847996238,0.5239301468405199
304.73746253088007,506,154197.15604062533,322,15,32,22.632337197704523,5,13,Moderate Risk,0,0.05,0.506,3.0839431208125063,0.644,0.5,0.32,0.45264674395409044,0.6094749250617602
186.67434908567537,463,86430.22362666769,407,23,83,13.026604424094067,42,23,Moderate Risk,0,0.42,0.463,1.7286044725333538,0.814,0.7666666666666667,0.83,0.26053208848188136,0.37334869817135075
175.28622378449597,358,62752.46811484956,68,28,79,16.56737797965883,80,26,Normal,0,0.8,0.358,1.2550493622969912,0.136,0.9333333333333333,0.79,0.3313475595931766,0.350572447568992
18.12053132350644,208,3769.0705152893397,51,4,46,36.027649689765056,15,8,Normal,1,0.15,0.208,0.0753814103057868,0.102,0.13333333333333333,0.46,0.7205529937953011,0.036241062647012885
314.84106901817864,579,182292.97896152543,146,23,53,14.557020577940657,6,31,Normal,1,0.06,0.579,3.6458595792305086,0.292,0.7666666666666667,0.53,0.29114041155881315,0.6296821380363573
226.26216356342772,244,55207.96790947636,49,18,86,28.907228635214654,69,14,Normal,0,0.69,0.244,1.1041593581895273,0.098,0.6,0.86,0.5781445727042931,0.4525243271268554
185.7683870473781,747,138768.98512439145,176,23,90,6.44623598133283,22,31,Normal,1,0.22,0.747,2.775379702487829,0.352,0.7666666666666667,0.9,0.1289247196266566,0.3715367740947562
146.99225079217638,991,145669.3205350468,479,23,13,8.931547834186219,25,25,Moderate Risk,1,0.25,0.991,2.913386410700936,0.958,0.7666666666666667,0.13,0.1786309566837244,0.29398450158435274
390.6509433981639,978,382056.6226434043,331,2,19,38.11932229317495,66,-2,Moderate Risk,0,0.66,0.978,7.641132452868086,0.662,0.06666666666666667,0.19,0.762386445863499,0.7813018867963278
223.44180763969442,117,26142.691493844246,372,6,49,12.87569088460878,95,12,Moderate Risk,1,0.95,0.117,0.5228538298768849,0.744,0.2,0.49,0.2575138176921756,0.44688361527938886
457.5794252391489,417,190810.6203247251,365,8,69,14.010536164329327,82,12,Moderate Risk,1,0.82,0.417,3.816212406494502,0.73,0.26666666666666666,0.69,0.2802107232865865,0.9151588504782978
355.66764394388935,978,347842.9557771238,56,10,49,22.35484986261146,83,11,Normal,1,0.83,0.978,6.956859115542476,0.112,0.3333333333333333,0.49,0.4470969972522292,0.7113352878877787
435.2415787269924,349,151899.31097572035,85,3,94,33.449573798561275,68,0,Normal,0,0.68,0.349,3.037986219514407,0.17,0.1,0.94,0.6689914759712255,0.8704831574539847
137.6619295180034,811,111643.82483910077,169,29,46,13.543374330600727,16,32,Normal,1,0.16,0.811,2.232876496782015,0.338,0.9666666666666667,0.46,0.27086748661201454,0.2753238590360068
191.8225669816657,34,6521.967277376633,278,16,34,48.1326347373886,55,12,Normal,0,0.55,0.034,0.13043934554753267,0.556,0.5333333333333333,0.34,0.962652694747772,0.3836451339633314
420.42403819844895,985,414117.6776254722,286,20,69,33.665193225536015,5,21,Normal,1,0.05,0.985,8.282353552509443,0.572,0.6666666666666666,0.69,0.6733038645107203,0.840848076396898
429.6696958726216,768,329986.3264301734,77,30,13,28.134092620473186,20,36,Normal,1,0.2,0.768,6.599726528603468,0.154,1.0,0.13,0.5626818524094638,0.8593393917452432
145.3976530893204,330,47981.22551947574,190,20,72,32.54803313118995,53,15,Normal,0,0.53,0.33,0.9596245103895148,0.38,0.6666666666666666,0.72,0.650960662623799,0.29079530617864086
458.7883527265522,780,357854.9151267107,69,3,68,9.215029645297298,65,-1,Normal,0,0.65,0.78,7.157098302534214,0.138,0.1,0.68,0.18430059290594594,0.9175767054531044
450.9435667975573,442,199317.05652452033,116,6,29,14.400706087330764,13,5,Normal,0,0.13,0.442,3.986341130490407,0.232,0.2,0.29,0.2880141217466153,0.9018871335951146
482.1613355979834,497,239634.18379219776,74,4,21,21.200870674669208,23,9,Normal,1,0.23,0.497,4.792683675843955,0.148,0.13333333333333333,0.21,0.4240174134933842,0.9643226711959668
146.6842314813206,488,71581.90496288445,120,24,20,10.509383102444847,69,34,Normal,1,0.69,0.488,1.431638099257689,0.24,0.8,0.2,0.21018766204889694,0.29336846296264124
285.9243149890276,840,240176.4245907832,17,24,95,32.999829713536336,63,20,High Risk,0,0.63,0.84,4.803528491815664,0.034,0.8,0.95,0.6599965942707268,0.5718486299780552
160.3910163943671,186,29832.72904935228,76,19,32,8.148569787016278,43,14,Normal,0,0.43,0.186,0.5966545809870456,0.152,0.6333333333333333,0.32,0.16297139574032557,0.32078203278873424
249.0520908202702,539,134239.07695212564,458,20,93,41.660929718667674,20,28,Moderate Risk,1,0.2,0.539,2.684781539042513,0.916,0.6666666666666666,0.93,0.8332185943733534,0.4981041816405404
167.1270031444224,839,140219.5556381704,247,15,54,7.8640759378168825,2,13,Normal,0,0.02,0.839,2.804391112763408,0.494,0.5,0.54,0.15728151875633764,0.3342540062888448
357.25616308265234,229,81811.66134592738,295,8,93,37.76488765007375,56,7,Normal,0,0.56,0.229,1.6362332269185476,0.59,0.26666666666666666,0.93,0.7552977530014751,0.7145123261653047
74.48105411912523,648,48263.72306919315,294,1,33,22.58698095858916,88,9,Normal,1,0.88,0.648,0.965274461383863,0.588,0.03333333333333333,0.33,0.4517396191717832,0.14896210823825046
