Product ID,Order Date,Quantity
PROD-1,2023-01-01,233
PROD-1,2023-01-02,186
PROD-1,2023-01-03,240
PROD-1,2023-01-04,203
PROD-1,2023-01-05,250
PROD-1,2023-01-06,206
PROD-1,2023-01-07,200
PROD-1,2023-01-08,190
PROD-1,2023-01-09,245
PROD-1,2023-01-10,248
PROD-1,2023-01-11,236
PROD-1,2023-01-12,252
PROD-1,2023-01-13,187
PROD-1,2023-01-14,180
PROD-1,2023-01-15,189
PROD-1,2023-01-16,206
PROD-1,2023-01-17,198
PROD-1,2023-01-18,229
PROD-1,2023-01-19,187
PROD-1,2023-01-20,200
PROD-1,2023-01-21,227
PROD-1,2023-01-22,189
PROD-1,2023-01-23,233
PROD-1,2023-01-24,231
PROD-1,2023-01-25,206
PROD-1,2023-01-26,180
PROD-1,2023-01-27,244
PROD-1,2023-01-28,181
PROD-1,2023-01-29,183
PROD-1,2023-01-30,215
PROD-1,2023-01-31,221
PROD-1,2023-02-01,208
PROD-1,2023-02-02,191
PROD-1,2023-02-03,223
PROD-1,2023-02-04,269
PROD-1,2023-02-05,215
PROD-1,2023-02-06,251
PROD-1,2023-02-07,257
PROD-1,2023-02-08,272
PROD-1,2023-02-09,266
PROD-1,2023-02-10,256
PROD-1,2023-02-11,258
PROD-1,2023-02-12,232
PROD-1,2023-02-13,237
PROD-1,2023-02-14,256
PROD-1,2023-02-15,201
PROD-1,2023-02-16,192
PROD-1,2023-02-17,282
PROD-1,2023-02-18,249
PROD-1,2023-02-19,205
PROD-1,2023-02-20,243
PROD-1,2023-02-21,271
PROD-1,2023-02-22,282
PROD-1,2023-02-23,227
PROD-1,2023-02-24,278
PROD-1,2023-02-25,209
PROD-1,2023-02-26,197
PROD-1,2023-02-27,256
PROD-1,2023-02-28,264
PROD-1,2023-03-01,212
PROD-1,2023-03-02,203
PROD-1,2023-03-03,199
PROD-1,2023-03-04,271
PROD-1,2023-03-05,217
PROD-1,2023-03-06,253
PROD-1,2023-03-07,242
PROD-1,2023-03-08,281
PROD-1,2023-03-09,246
PROD-1,2023-03-10,226
PROD-1,2023-03-11,221
PROD-1,2023-03-12,205
PROD-1,2023-03-13,218
PROD-1,2023-03-14,292
PROD-1,2023-03-15,197
PROD-1,2023-03-16,261
PROD-1,2023-03-17,214
PROD-1,2023-03-18,242
PROD-1,2023-03-19,251
PROD-1,2023-03-20,232
PROD-1,2023-03-21,242
PROD-1,2023-03-22,291
PROD-1,2023-03-23,262
PROD-1,2023-03-24,274
PROD-1,2023-03-25,245
PROD-1,2023-03-26,236
PROD-1,2023-03-27,283
PROD-1,2023-03-28,282
PROD-1,2023-03-29,204
PROD-1,2023-03-30,206
PROD-1,2023-03-31,200
PROD-1,2023-04-01,217
PROD-1,2023-04-02,209
PROD-1,2023-04-03,267
PROD-1,2023-04-04,218
PROD-1,2023-04-05,269
PROD-1,2023-04-06,200
PROD-1,2023-04-07,233
PROD-1,2023-04-08,235
PROD-1,2023-04-09,208
PROD-1,2023-04-10,267
PROD-1,2023-04-11,194
PROD-1,2023-04-12,208
PROD-1,2023-04-13,232
PROD-1,2023-04-14,198
PROD-1,2023-04-15,212
PROD-1,2023-04-16,220
PROD-1,2023-04-17,228
PROD-1,2023-04-18,237
PROD-1,2023-04-19,266
PROD-1,2023-04-20,278
PROD-1,2023-04-21,263
PROD-1,2023-04-22,247
PROD-1,2023-04-23,203
PROD-1,2023-04-24,242
PROD-1,2023-04-25,220
PROD-1,2023-04-26,219
PROD-1,2023-04-27,220
PROD-1,2023-04-28,210
PROD-1,2023-04-29,238
PROD-1,2023-04-30,212
PROD-1,2023-05-01,184
PROD-1,2023-05-02,176
PROD-1,2023-05-03,183
PROD-1,2023-05-04,193
PROD-1,2023-05-05,176
PROD-1,2023-05-06,257
PROD-1,2023-05-07,234
PROD-1,2023-05-08,223
PROD-1,2023-05-09,252
PROD-1,2023-05-10,180
PROD-1,2023-05-11,191
PROD-1,2023-05-12,252
PROD-1,2023-05-13,207
PROD-1,2023-05-14,182
PROD-1,2023-05-15,253
PROD-1,2023-05-16,223
PROD-1,2023-05-17,176
PROD-1,2023-05-18,220
PROD-1,2023-05-19,202
PROD-1,2023-05-20,198
PROD-1,2023-05-21,209
PROD-1,2023-05-22,191
PROD-1,2023-05-23,207
PROD-1,2023-05-24,252
PROD-1,2023-05-25,241
PROD-1,2023-05-26,249
PROD-1,2023-05-27,205
PROD-1,2023-05-28,214
PROD-1,2023-05-29,239
PROD-1,2023-05-30,236
PROD-1,2023-05-31,200
PROD-1,2023-06-01,168
PROD-1,2023-06-02,201
PROD-1,2023-06-03,185
PROD-1,2023-06-04,198
PROD-1,2023-06-05,182
PROD-1,2023-06-06,185
PROD-1,2023-06-07,198
PROD-1,2023-06-08,187
PROD-1,2023-06-09,157
PROD-1,2023-06-10,151
PROD-1,2023-06-11,166
PROD-1,2023-06-12,150
PROD-1,2023-06-13,182
PROD-1,2023-06-14,205
PROD-1,2023-06-15,157
PROD-1,2023-06-16,212
PROD-1,2023-06-17,174
PROD-1,2023-06-18,193
PROD-1,2023-06-19,170
PROD-1,2023-06-20,162
PROD-1,2023-06-21,196
PROD-1,2023-06-22,162
PROD-1,2023-06-23,159
PROD-1,2023-06-24,166
PROD-1,2023-06-25,207
PROD-1,2023-06-26,224
PROD-1,2023-06-27,201
PROD-1,2023-06-28,172
PROD-1,2023-06-29,181
PROD-1,2023-06-30,161
PROD-1,2023-07-01,149
PROD-1,2023-07-02,150
PROD-1,2023-07-03,162
PROD-1,2023-07-04,180
PROD-1,2023-07-05,174
PROD-1,2023-07-06,180
PROD-1,2023-07-07,137
PROD-1,2023-07-08,182
PROD-1,2023-07-09,132
PROD-1,2023-07-10,185
PROD-1,2023-07-11,172
PROD-1,2023-07-12,133
PROD-1,2023-07-13,179
PROD-1,2023-07-14,133
PROD-1,2023-07-15,180
PROD-1,2023-07-16,150
PROD-1,2023-07-17,159
PROD-1,2023-07-18,157
PROD-1,2023-07-19,147
PROD-1,2023-07-20,172
PROD-1,2023-07-21,161
PROD-1,2023-07-22,181
PROD-1,2023-07-23,182
PROD-1,2023-07-24,132
PROD-1,2023-07-25,179
PROD-1,2023-07-26,183
PROD-1,2023-07-27,178
PROD-1,2023-07-28,152
PROD-1,2023-07-29,181
PROD-1,2023-07-30,181
PROD-1,2023-07-31,160
PROD-1,2023-08-01,112
PROD-1,2023-08-02,143
PROD-1,2023-08-03,131
PROD-1,2023-08-04,159
PROD-1,2023-08-05,141
PROD-1,2023-08-06,121
PROD-1,2023-08-07,112
PROD-1,2023-08-08,129
PROD-1,2023-08-09,158
PROD-1,2023-08-10,133
PROD-1,2023-08-11,148
PROD-1,2023-08-12,129
PROD-1,2023-08-13,150
PROD-1,2023-08-14,133
PROD-1,2023-08-15,131
PROD-1,2023-08-16,162
PROD-1,2023-08-17,129
PROD-1,2023-08-18,130
PROD-1,2023-08-19,135
PROD-1,2023-08-20,156
PROD-1,2023-08-21,114
PROD-1,2023-08-22,159
PROD-1,2023-08-23,142
PROD-1,2023-08-24,145
PROD-1,2023-08-25,143
PROD-1,2023-08-26,149
PROD-1,2023-08-27,153
PROD-1,2023-08-28,156
PROD-1,2023-08-29,113
PROD-1,2023-08-30,117
PROD-1,2023-08-31,152
PROD-1,2023-09-01,134
PROD-1,2023-09-02,131
PROD-1,2023-09-03,155
PROD-1,2023-09-04,112
PROD-1,2023-09-05,114
PROD-1,2023-09-06,125
PROD-1,2023-09-07,152
PROD-1,2023-09-08,155
PROD-1,2023-09-09,135
PROD-1,2023-09-10,152
PROD-1,2023-09-11,155
PROD-1,2023-09-12,113
PROD-1,2023-09-13,147
PROD-1,2023-09-14,128
PROD-1,2023-09-15,121
PROD-1,2023-09-16,147
PROD-1,2023-09-17,155
PROD-1,2023-09-18,148
PROD-1,2023-09-19,117
PROD-1,2023-09-20,133
PROD-1,2023-09-21,125
PROD-1,2023-09-22,120
PROD-1,2023-09-23,119
PROD-1,2023-09-24,112
PROD-1,2023-09-25,125
PROD-1,2023-09-26,146
PROD-1,2023-09-27,132
PROD-1,2023-09-28,125
PROD-1,2023-09-29,150
PROD-1,2023-09-30,141
PROD-1,2023-10-01,135
PROD-1,2023-10-02,152
PROD-1,2023-10-03,119
PROD-1,2023-10-04,161
PROD-1,2023-10-05,136
PROD-1,2023-10-06,134
PROD-1,2023-10-07,132
PROD-1,2023-10-08,156
PROD-1,2023-10-09,125
PROD-1,2023-10-10,131
PROD-1,2023-10-11,132
PROD-1,2023-10-12,147
PROD-1,2023-10-13,127
PROD-1,2023-10-14,120
PROD-1,2023-10-15,118
PROD-1,2023-10-16,129
PROD-1,2023-10-17,165
PROD-1,2023-10-18,120
PROD-1,2023-10-19,142
PROD-1,2023-10-20,120
PROD-1,2023-10-21,114
PROD-1,2023-10-22,114
PROD-1,2023-10-23,130
PROD-1,2023-10-24,153
PROD-1,2023-10-25,144
PROD-1,2023-10-26,129
PROD-1,2023-10-27,153
PROD-1,2023-10-28,117
PROD-1,2023-10-29,132
PROD-1,2023-10-30,150
PROD-1,2023-10-31,113
PROD-1,2023-11-01,165
PROD-1,2023-11-02,176
PROD-1,2023-11-03,172
PROD-1,2023-11-04,139
PROD-1,2023-11-05,178
PROD-1,2023-11-06,160
PROD-1,2023-11-07,165
PROD-1,2023-11-08,128
PROD-1,2023-11-09,149
PROD-1,2023-11-10,130
PROD-1,2023-11-11,180
PROD-1,2023-11-12,155
PROD-1,2023-11-13,166
PROD-1,2023-11-14,182
PROD-1,2023-11-15,160
PROD-1,2023-11-16,135
PROD-1,2023-11-17,179
PROD-1,2023-11-18,186
PROD-1,2023-11-19,152
PROD-1,2023-11-20,156
PROD-1,2023-11-21,188
PROD-1,2023-11-22,159
PROD-1,2023-11-23,180
PROD-1,2023-11-24,179
PROD-1,2023-11-25,180
PROD-1,2023-11-26,175
PROD-1,2023-11-27,162
PROD-1,2023-11-28,131
PROD-1,2023-11-29,164
PROD-1,2023-11-30,133
PROD-1,2023-12-01,205
PROD-1,2023-12-02,150
PROD-1,2023-12-03,219
PROD-1,2023-12-04,211
PROD-1,2023-12-05,183
PROD-1,2023-12-06,154
PROD-1,2023-12-07,186
PROD-1,2023-12-08,180
PROD-1,2023-12-09,195
