Product Name,Unit Cost,Selling Price,Current Stock,Category,Warehouse,Min Stock,Max Stock
Wireless Mouse,513.34,596.12,145,Electronics,East Coast,2,614
Mechanical Keyboard,590.49,858.88,461,Electronics,South,5,544
USB-C Hub,340.43,396.06,116,Electronics,South,2,758
Webcam HD,26.1,32.35,337,Electronics,East Coast,5,714
Bluetooth Speaker,362.12,461.77,450,Electronics,East Coast,1,888
Portable Charger,560.02,729.77,84,Electronics,West Coast,2,990
HDMI Cable,86.26,113.95,188,Electronics,West Coast,3,809
SSD 1TB,646.67,956.02,279,Electronics,Midwest,1,998
RAM 16GB,67.65,86.72,326,Electronics,West Coast,5,953
Graphics Card,463.99,680.7,28,Electronics,West Coast,2,895
CPU Processor,788.25,1209.88,448,Electronics,West Coast,1,694
Motherboard,365.46,557.45,88,Electronics,East Coast,3,681
Power Supply 750W,537.79,788.3,354,Electronics,International,1,811
PC Case,141.06,208.5,88,Electronics,West Coast,4,694
Monitor 27 inch,791.67,1138.42,290,Electronics,West Coast,2,850
Laptop Stand,675.07,1012.06,122,Electronics,West Coast,1,912
Noise Cancelling Headphones,323.93,382.17,472,Electronics,International,5,948
Smart Watch,255.17,368.71,207,Electronics,West Coast,4,573
Fitness Tracker,116.01,172.3,280,Electronics,South,3,882
Wireless Earbuds,345.6,488.19,190,Electronics,South,2,570
Tablet 10 inch,397.35,592.09,445,Electronics,International,1,578
E-Reader,132.19,192.5,310,Electronics,Midwest,1,697
Smart Plug,478.73,651.37,133,Electronics,Primary,5,940
WiFi Router,545.83,655.84,458,Electronics,West Coast,5,884
Network Switch,616.04,802.75,155,Electronics,Midwest,4,580
External HDD 2TB,7.58,11.18,373,Electronics,South,3,997
Flash Drive 64GB,610.76,841.91,59,Electronics,International,3,930
Memory Card 128GB,408.59,506.45,196,Electronics,South,2,776
Desk Lamp LED,735.2,1043.63,255,Electronics,West Coast,1,557
Phone Charger,703.58,1072.43,162,Electronics,East Coast,2,529
Screen Protector,703.02,1108.05,48,Electronics,Primary,4,917
Phone Case,782.5,1087.45,69,Electronics,Midwest,2,837
Laptop Sleeve,757.74,927.71,275,Electronics,East Coast,5,716
Monitor Arm,743.49,1107.7,358,Electronics,West Coast,2,865
Keyboard Wrist Rest,322.2,467.92,196,Electronics,South,4,960
Mouse Pad XL,363.93,459.12,37,Electronics,South,3,510
Cable Management Kit,445.37,630.11,8,Electronics,International,1,862
Surge Protector,51.8,61.14,21,Electronics,South,3,536
UPS Battery,194.21,281.81,114,Electronics,International,5,567
Microphone USB,748.73,1053.44,247,Electronics,Midwest,2,901
Ring Light,646.96,799.44,54,Electronics,Midwest,4,681
Green Screen,331.83,510.6,32,Electronics,Midwest,1,531
Streaming Deck,583.93,881.89,60,Electronics,East Coast,2,598
Capture Card,431.35,523.26,98,Electronics,East Coast,3,736
VR Headset,700.22,829.01,418,Electronics,Primary,5,550
Drone Camera,523.46,729.32,12,Electronics,East Coast,1,974
Action Camera,137.22,187.79,114,Electronics,Primary,4,962
Digital Camera,135.89,156.41,204,Electronics,Midwest,3,974
