Supplier Name,Ship Date,ETA,Actual Delivery,Quantity,Shipping Cost,Status,Tracking Number
Quality Foods International,2026-01-26,2026-02-21,2026-03-03,4076,12001.17,delayed,TRK503611133
PackRight Solutions,2026-01-10,2026-02-02,2026-02-05,1575,7076.7,delayed,TRK642615766
SparkleChem Corp.,2026-04-20,2026-05-19,2026-06-02,5000,12805.63,customs,TRK881858337
NexGen Components,2026-01-25,2026-02-25,2026-03-05,3951,21731.95,delayed,TRK569453821
ProShield Equipment,2026-01-14,2026-02-07,2026-02-18,4548,9418.56,delayed,TRK493726903
EuroChip GmbH,2025-12-02,2026-01-11,2026-01-13,2319,3611.13,customs,TRK359927330
CleanPro Industries,2026-02-20,2026-03-29,2026-03-30,4633,23826.43,in_transit,TRK527899167
ProShield Equipment,2026-04-23,2026-05-07,2026-05-20,4068,24388.93,delivered,TRK450294832
Pacific Trading Inc.,2026-05-07,2026-06-14,2026-06-25,3986,13351.31,delivered,TRK378730136
Iberian Woodcraft,2026-05-12,2026-06-01,2026-06-07,4635,22576.59,pending,TRK573862982
EcoSafe Cleaning,2026-02-05,2026-03-06,2026-03-09,4835,11255.17,in_transit,TRK119564363
Scandinavian Design AB,2026-05-12,2026-06-17,2026-07-01,3644,21343.61,delivered,TRK633977948
Mediterranean Imports,2026-01-04,2026-02-02,2026-01-31,3407,16750.68,customs,TRK953167497
Nordic Provisions,2025-12-09,2026-01-05,2026-01-16,2366,18314.58,delivered,TRK109838374
Industrial Safety Corp.,2025-12-05,2025-12-09,2025-12-16,3905,13467.7,delayed,TRK533190259
Euro Furniture GmbH,2026-04-23,2026-04-30,2026-05-09,1764,6694.29,pending,TRK454828016
EuroChip GmbH,2026-01-13,2026-02-10,2026-02-17,978,8784.24,in_transit,TRK242420228
Silicon Valley Supply,2026-03-15,2026-03-22,2026-03-26,4320,3308.85,customs,TRK638804651
EcoClean Products,2026-01-26,2026-03-09,2026-03-07,4405,18768.59,pending,TRK809669673
Asia Pacific Foods,2026-02-09,2026-03-04,2026-03-04,2126,11030.17,pending,TRK967337658
CircuitMaster Inc.,2026-05-03,2026-06-06,2026-06-03,2916,14253.48,customs,TRK545369504
Quality Foods International,2026-05-20,2026-05-29,2026-06-05,3077,17361.73,delivered,TRK297543758
PackRight Solutions,2026-03-12,2026-03-19,2026-03-20,2204,24873.29,delayed,TRK459540619
OfficeDirect Wholesale,2025-12-04,2026-01-18,2026-01-26,4033,14118.64,delivered,TRK440555392
Continental Supply Co.,2026-02-21,2026-03-30,2026-04-03,1193,340.98,delivered,TRK270842350
Quality Foods International,2026-04-28,2026-05-06,2026-05-09,711,12612.07,in_transit,TRK253680030
EuroChip GmbH,2026-03-19,2026-04-29,2026-05-12,471,990.49,customs,TRK372747048
FreshSource Distributors,2025-12-05,2025-12-28,2026-01-04,2998,11276.89,pending,TRK364783987
SparkleChem Corp.,2025-12-05,2026-01-18,2026-01-21,1276,14097.95,delivered,TRK751143519
Silicon Valley Supply,2026-04-11,2026-04-22,2026-04-21,4553,19841.98,delivered,TRK546561435
PackRight Solutions,2026-01-01,2026-01-20,2026-02-02,2089,9086.52,customs,TRK788413160
Acme Electronics Co.,2026-01-15,2026-02-04,2026-02-13,4968,12995.5,pending,TRK321528488
PaperWorld Ltd.,2026-01-02,2026-02-03,2026-02-10,4231,6967.35,delayed,TRK558478781
