Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,sales_to_availability_ratio,inventory_risk_label,delivery_delay,Price_normalized,Availability_normalized,Number of products sold_normalized,Revenue generated_normalized,Stock levels_normalized,Lead times_normalized,Order quantities_normalized,Shipping costs_normalized
haircare,SKU0,69.80800554211577,55,802,8661.996792392383,Non-binary,58,7,96,4,Carrier B,2.956572139430807,Supplier 3,Mumbai,29,215,29,46.27987924050832,Pending,0.2264103608499251,Road,Route B,187.75207545920392,14.321428571428571,Normal,0,0.6987491985511854,0.5454545454545454,0.8036437246963563,0.8632039063843299,0.58,0.20689655172413793,1.0,0.2179243750791089
skincare,SKU1,14.84352327508434,95,736,7460.900065445849,Female,53,30,37,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,23,517,30,33.61676895373,Pending,4.854068026388706,Road,Route B,503.0655791496692,7.666666666666667,Normal,0,0.13484523305855786,0.9494949494949495,0.7368421052631579,0.7267907766822498,0.53,1.0,0.37894736842105264,0.9760841645028171
haircare,SKU2,11.319683293090566,34,8,9577.74962586873,Unknown,1,10,88,2,Carrier B,8.054479261732155,Supplier 1,Mumbai,12,971,27,30.688019348284204,Pending,4.580592619199229,Air,Route C,141.92028177151906,0.22857142857142856,Stockout Risk,0,0.09869266220464011,0.3333333333333333,0.0,0.9672094433618832,0.01,0.3103448275862069,0.9157894736842105,0.7896738847685489
skincare,SKU3,61.163343016437736,68,83,7766.836425685233,Non-binary,23,13,59,6,Carrier C,1.7295685635434288,Supplier 5,Kolkata,24,937,18,35.62474139712503,Fail,4.74664862064775,Rail,Route A,254.77615921928663,1.2028985507246377,Normal,0,0.6100599345480692,0.6767676767676768,0.07591093117408906,0.7615371342849503,0.23,0.41379310344827586,0.6105263157894737,0.08031129659993438
skincare,SKU4,4.805496036345893,26,871,2686.505151567447,Non-binary,5,3,56,8,Carrier A,3.890547915870672,Supplier 1,Delhi,5,414,3,92.06516059871284,Fail,3.145579522833002,Air,Route A,923.4406317119222,32.25925925925926,Stockout Risk,1,0.031860848740198316,0.25252525252525254,0.8734817813765182,0.18454456284768547,0.05,0.06896551724137931,0.5789473684210527,0.32267328074380125
haircare,SKU5,1.6999760138659377,87,147,2828.348745975759,Non-binary,90,27,66,3,Carrier B,4.444098864382293,Supplier 4,Bangalore,10,104,17,56.7664755574318,Fail,2.7791935115711617,Road,Route A,235.4612367355375,1.6704545454545454,Normal,0,0.0,0.8686868686868687,0.14068825910931174,0.2006542800813847,0.9,0.896551724137931,0.6842105263157895,0.38475610724629145
skincare,SKU6,4.078332863107945,48,65,7823.476559531737,Male,11,15,58,8,Carrier C,3.880763302952003,Supplier 3,Kolkata,14,314,24,1.0850685695870688,Pending,1.0009106193041355,Sea,Route A,134.36909686103172,1.3265306122448979,Normal,0,0.024400572939601243,0.47474747474747475,0.057692307692307696,0.767969970002011,0.11,0.4827586206896552,0.6,0.32157589950390436
cosmetics,SKU7,42.95838438246007,59,426,8496.103813089838,Female,93,17,11,1,Carrier B,2.3483387844177805,Supplier 4,Bangalore,22,564,1,99.46610860359912,Fail,0.3981771868506506,Road,Route C,802.0563118175586,7.1,Normal,0,0.4232875327731347,0.5858585858585859,0.4230769230769231,0.8443628089151916,0.93,0.5517241379310345,0.10526315789473684,0.149708710461729
cosmetics,SKU8,68.71759674852733,78,150,7517.363210631127,Female,5,10,15,7,Carrier C,3.4047338570830266,Supplier 4,Mumbai,13,769,8,11.423027139565695,Pending,2.709862691109961,Sea,Route B,505.55713422546415,1.8987341772151898,Stockout Risk,0,0.687562231670914,0.7777777777777778,0.1437246963562753,0.733203511122987,0.05,0.3103448275862069,0.14736842105263157,0.2681874018824614
skincare,SKU9,64.01573294127854,35,980,4971.145987585558,Unknown,14,27,83,1,Carrier A,7.166645291048216,Supplier 2,Chennai,29,963,23,47.95760163495158,Pending,3.844614478767585,Rail,Route B,995.9294614986416,27.22222222222222,Normal,0,0.6393238141191452,0.3434343434343434,0.9838056680161943,0.4440199237361514,0.14,0.896551724137931,0.8631578947368421,0.6900999566356613
