inventory_id,product_id,warehouse,current_stock,reorder_point,max_stock
1,1,Mumbai,577,121,582
2,2,Hyderabad,534,303,1020
3,3,Pune,147,229,547
4,4,Bangalore,721,246,728
5,5,Bangalore,426,269,708
6,6,Chennai,950,323,1078
7,7,Delhi,558,297,770
8,8,Hyderabad,323,354,842
9,9,Chennai,130,142,814
10,10,Delhi,608,320,928
11,11,Bangalore,131,250,714
12,12,Mumbai,363,267,905
13,13,Pune,486,328,936
14,14,Chennai,409,185,838
15,15,Pune,411,328,649
16,16,Pune,108,322,762
17,17,Pune,465,138,781
18,18,Pune,745,286,848
19,19,Bangalore,196,181,968
20,20,Delhi,118,324,641
21,21,Pune,425,220,918
22,22,Hyderabad,83,285,781
23,23,Chennai,429,178,825
24,24,Bangalore,637,290,817
25,25,Mumbai,457,170,741
26,26,Mumbai,305,260,892
27,27,Pune,145,158,471
28,28,Chennai,625,355,920
29,29,Mumbai,506,160,594
30,30,Mumbai,760,209,822
31,31,Bangalore,188,351,753
32,32,Delhi,505,137,668
33,33,Pune,377,144,858
34,34,Bangalore,613,277,940
35,35,Mumbai,211,377,825
36,36,Mumbai,570,189,895
37,37,Delhi,192,214,576
38,38,Chennai,76,221,925
39,39,Hyderabad,427,284,867
40,40,Hyderabad,182,339,1050
41,41,Mumbai,253,144,477
42,42,Chennai,837,345,914
43,43,Hyderabad,125,309,1030
44,44,Mumbai,707,164,961
45,45,Chennai,579,137,667
46,46,Hyderabad,236,276,641
47,47,Hyderabad,106,166,687
48,48,Delhi,361,163,728
49,49,Mumbai,280,184,566
50,50,Hyderabad,966,277,1062
51,51,Bangalore,306,245,978
52,52,Hyderabad,331,200,825
53,53,Mumbai,679,164,784
54,54,Hyderabad,706,373,720
55,55,Hyderabad,207,186,789
56,56,Hyderabad,787,187,824
57,57,Hyderabad,92,272,1003
58,58,Bangalore,378,114,455
59,59,Pune,265,395,830
60,60,Hyderabad,704,392,905
61,61,Pune,608,115,669
62,62,Mumbai,544,248,876
63,63,Pune,465,225,937
64,64,Bangalore,755,252,784
65,65,Chennai,262,130,510
66,66,Delhi,398,347,884
67,67,Pune,376,173,633
68,68,Chennai,317,276,1075
69,69,Hyderabad,158,289,852
70,70,Chennai,175,263,686
71,71,Delhi,194,236,766
72,72,Mumbai,246,149,474
73,73,Delhi,385,314,741
74,74,Mumbai,244,395,1064
75,75,Hyderabad,528,181,736
76,76,Mumbai,1068,355,1105
77,77,Chennai,308,111,457
78,78,Delhi,490,334,1128
79,79,Bangalore,101,398,878
80,80,Hyderabad,719,244,797
81,81,Hyderabad,58,340,786
82,82,Delhi,320,155,675
83,83,Chennai,424,287,978
84,84,Bangalore,625,123,628
85,85,Hyderabad,345,199,684
86,86,Hyderabad,511,137,634
87,87,Hyderabad,746,381,824
88,88,Bangalore,251,160,525
89,89,Mumbai,621,291,997
90,90,Delhi,253,287,973
91,91,Hyderabad,91,360,865
92,92,Delhi,415,123,442
