order_id,product_id,order_date,quantity,region
1,401,2024-10-20,83,South
2,326,2024-11-04,276,North
3,145,2024-09-11,389,North
4,356,2024-05-01,377,South
5,91,2024-11-21,393,West
6,272,2024-01-06,264,South
7,359,2024-02-04,312,North
8,50,2024-01-01,445,West
9,171,2024-08-02,473,West
10,360,2024-07-12,434,North
11,231,2024-09-02,216,West
12,35,2024-02-07,351,North
13,268,2024-06-12,157,North
14,175,2024-06-24,434,South
15,96,2024-02-08,396,West
16,442,2024-01-16,218,West
17,55,2024-03-21,153,East
18,195,2024-04-15,469,East
19,305,2024-05-24,293,North
20,403,2024-01-26,552,South
21,370,2024-01-28,53,West
22,302,2024-02-14,541,South
23,27,2024-02-19,261,South
24,299,2024-11-22,133,West
25,316,2024-02-29,457,West
26,272,2024-09-07,143,West
27,380,2024-04-04,440,East
28,457,2024-04-05,95,East
29,477,2024-08-13,319,South
30,64,2024-05-17,204,North
31,353,2024-02-13,473,South
32,63,2024-10-10,446,West
33,487,2024-10-01,291,West
34,81,2024-06-02,454,North
35,530,2024-09-14,200,North
36,178,2024-08-17,221,South
37,130,2024-04-08,93,West
38,446,2024-02-10,256,South
39,265,2024-10-31,377,North
40,398,2024-02-14,456,East
41,533,2024-05-21,519,North
42,536,2024-11-15,479,North
43,154,2024-07-31,201,North
44,104,2024-02-24,342,East
45,271,2024-07-29,442,West
46,485,2024-10-19,88,South
47,413,2024-05-21,197,West
48,406,2024-01-20,389,South
49,487,2024-01-26,325,East
50,346,2024-01-11,360,East
51,504,2024-05-23,150,South
52,308,2024-03-09,503,East
53,427,2024-05-17,141,South
54,217,2024-08-14,466,West
55,383,2024-09-21,107,South
56,319,2024-02-03,568,West
57,537,2024-03-10,79,South
58,206,2024-04-08,109,South
59,468,2024-01-17,101,East
60,281,2024-04-11,427,West
61,407,2024-09-15,176,North
62,382,2024-05-03,550,West
63,486,2024-03-31,408,East
64,265,2024-03-24,142,East
65,396,2024-01-15,100,South
66,220,2024-10-19,276,South
67,276,2024-04-15,469,North
68,486,2024-01-05,185,South
69,9,2024-11-03,279,East
70,313,2024-11-07,331,West
71,358,2024-07-11,520,East
72,478,2024-04-21,359,West
73,105,2024-10-26,57,East
74,290,2024-10-14,355,North
75,66,2024-09-03,394,East
76,333,2024-11-23,333,East
77,193,2024-06-01,203,South
78,414,2024-01-30,377,South
79,510,2024-01-14,352,East
80,415,2024-08-02,447,North
81,195,2024-10-25,401,South
82,488,2024-09-30,417,East
83,186,2024-03-28,350,North
84,132,2024-08-29,314,South
85,92,2024-06-20,277,East
86,315,2024-04-24,480,East
87,267,2024-07-09,351,West
88,482,2024-03-01,104,North
89,200,2024-08-29,562,North
90,543,2024-07-14,355,West
91,155,2024-01-28,190,South
92,420,2024-06-24,518,South
93,185,2024-06-10,132,West
94,182,2024-06-19,370,North
95,463,2024-01-03,330,South
96,163,2024-03-27,551,North
97,445,2024-03-07,489,West
98,489,2024-08-07,442,North
99,547,2024-01-20,254,East
100,330,2024-01-08,593,South
101,5,2024-01-10,304,South
102,320,2024-06-25,182,North
103,516,2024-07-15,363,South
104,47,2024-02-03,355,East
105,533,2024-08-21,586,East
106,138,2024-08-10,400,West
107,193,2024-07-02,218,West
108,234,2024-01-10,279,South
109,23,2024-04-18,566,South
110,376,2024-03-04,88,West
111,262,2024-11-23,597,North
112,50,2024-10-31,160,North
113,119,2024-01-25,476,West
114,127,2024-07-13,308,West
115,211,2024-03-19,59,East
116,104,2024-08-03,582,East
117,141,2024-11-14,478,North
118,121,2024-09-18,339,North
119,510,2024-02-24,253,South
120,536,2024-05-14,256,East
121,303,2024-07-28,214,North
122,509,2024-10-07,262,West
123,241,2024-06-18,52,North
124,114,2024-02-15,555,South
125,524,2024-02-16,126,North
126,237,2024-05-11,517,East
127,476,2024-05-15,101,North
128,41,2024-03-30,347,East
129,437,2024-06-09,168,North
130,10,2024-01-24,191,South
131,367,2024-06-17,498,East
132,382,2024-02-17,400,South
133,411,2024-02-28,459,West
134,395,2024-05-19,539,West
135,116,2024-03-26,185,North
136,107,2024-03-22,476,West
137,449,2024-10-18,235,West
138,30,2024-07-02,183,West
139,116,2024-09-06,471,West
140,65,2024-01-24,317,East
141,538,2024-01-07,279,East
142,536,2024-09-22,147,West
143,494,2024-05-07,404,West
144,56,2024-03-17,61,South
145,481,2024-09-15,557,South
146,504,2024-02-08,378,South
147,285,2024-06-18,101,South
148,388,2024-10-08,462,South
149,471,2024-02-10,504,West
150,511,2024-02-15,507,East
151,510,2024-03-01,68,North
152,423,2024-07-25,86,North
153,312,2024-02-16,570,South
154,350,2024-08-21,422,North
155,466,2024-04-24,389,West
156,464,2024-07-05,166,North
157,3,2024-04-23,399,East
158,299,2024-11-20,584,East
159,47,2024-02-24,218,West
160,420,2024-03-12,159,East
161,201,2024-11-08,242,North
162,221,2024-07-20,518,South
163,111,2024-06-22,474,North
164,127,2024-11-20,511,West
165,517,2024-10-28,187,West
166,544,2024-01-03,99,West
167,495,2024-10-26,570,South
168,178,2024-10-23,181,North
169,330,2024-07-17,566,West
170,255,2024-08-02,330,West
171,302,2024-06-24,513,South
172,423,2024-03-11,574,East
173,322,2024-10-07,272,South
174,298,2024-04-17,403,South
175,516,2024-04-01,380,North
176,492,2024-06-29,477,East
177,14,2024-08-04,585,North
178,391,2024-01-13,198,North
179,205,2024-01-29,323,South
180,257,2024-05-26,199,North
181,209,2024-05-31,83,East
182,105,2024-08-19,279,West
183,524,2024-05-01,344,North
184,397,2024-07-14,476,East
185,56,2024-10-09,63,East
186,454,2024-04-13,280,East
187,202,2024-10-28,248,East
188,182,2024-08-17,126,South
189,527,2024-03-29,172,West
190,439,2024-01-21,335,East
191,165,2024-03-07,311,North
192,478,2024-06-18,208,North
193,331,2024-03-19,102,East
194,367,2024-09-08,124,East
195,226,2024-09-26,238,North
196,164,2024-09-15,475,West
197,358,2024-02-17,276,South
198,340,2024-06-18,419,East
199,544,2024-04-21,536,North
200,355,2024-02-28,506,South
201,250,2024-11-24,90,East
202,117,2024-07-14,445,East
203,290,2024-10-03,75,East
204,521,2024-09-20,506,West
205,304,2024-01-23,247,East
206,85,2024-09-20,148,South
207,547,2024-10-02,57,North
208,219,2024-04-17,484,North
209,446,2024-04-15,123,South
210,471,2024-01-13,389,North
211,76,2024-02-14,105,South
212,73,2024-05-08,283,East
213,398,2024-07-27,511,West
214,324,2024-08-09,67,West
215,548,2024-03-01,56,North
216,47,2024-10-26,124,East
217,109,2024-09-14,346,East
218,89,2024-11-06,338,West
219,405,2024-07-14,81,West
220,547,2024-03-21,275,South
221,303,2024-07-19,197,East
222,12,2024-07-10,194,North
223,6,2024-01-22,453,North
224,216,2024-06-05,402,South
225,525,2024-07-30,195,South
226,227,2024-04-04,308,South
227,186,2024-02-28,105,West
228,75,2024-11-26,347,North
229,101,2024-05-08,252,West
230,366,2024-06-18,181,South
231,292,2024-02-21,121,South
232,498,2024-06-11,511,East
233,314,2024-11-11,206,East
234,439,2024-06-10,222,North
235,253,2024-06-09,276,West
236,369,2024-05-21,187,East
237,474,2024-09-02,506,East
238,499,2024-06-05,161,South
239,84,2024-11-26,337,South
240,202,2024-10-02,319,North
241,20,2024-02-08,569,North
242,415,2024-10-24,267,North
243,267,2024-10-09,533,South
244,402,2024-07-06,278,East
245,476,2024-03-09,563,North
246,373,2024-07-22,564,North
247,170,2024-05-02,576,South
248,164,2024-08-16,233,South
249,368,2024-09-04,91,South
250,238,2024-09-06,114,East
251,240,2024-07-08,93,South
252,370,2024-09-22,447,West
253,48,2024-08-20,90,East
254,534,2024-02-22,330,East
255,179,2024-10-23,435,West
256,80,2024-07-06,579,East
257,229,2024-07-11,578,West
258,354,2024-06-29,548,West
259,7,2024-11-05,563,South
260,170,2024-08-13,285,North
261,288,2024-09-20,266,South
262,162,2024-04-05,420,North
263,425,2024-04-27,388,North
264,491,2024-09-03,540,South
265,166,2024-10-29,470,North
266,45,2024-05-04,180,South
267,525,2024-03-09,90,South
268,171,2024-01-29,314,South
269,416,2024-09-21,69,East
270,222,2024-02-13,509,West
271,175,2024-09-03,274,West
272,147,2024-11-03,236,East
273,351,2024-03-26,514,North
274,388,2024-04-27,444,South
275,17,2024-02-25,257,West
276,99,2024-03-17,231,West
277,40,2024-11-10,594,North
278,494,2024-02-17,183,North
279,535,2024-08-08,480,East
280,543,2024-01-23,489,South
281,391,2024-09-03,408,North
282,138,2024-08-05,310,West
283,86,2024-04-29,340,West
284,194,2024-05-11,55,North
285,536,2024-10-22,170,North
286,211,2024-07-11,373,West
287,110,2024-07-04,208,West
288,260,2024-10-26,317,West
289,375,2024-10-16,332,West
290,424,2024-04-14,544,South
291,496,2024-07-08,309,East
292,353,2024-10-22,457,South
293,236,2024-03-01,507,South
294,220,2024-02-21,570,West
295,54,2024-06-22,214,West
296,6,2024-11-21,143,South
297,446,2024-08-29,140,North
298,228,2024-05-14,429,North
299,39,2024-11-07,443,West
300,534,2024-11-10,343,North
301,507,2024-03-30,499,North
302,531,2024-04-13,342,South
303,523,2024-01-18,578,South
304,174,2024-11-10,86,East
305,1,2024-05-02,211,North
306,410,2024-05-21,411,West
307,206,2024-07-26,580,North
308,93,2024-02-05,341,East
309,284,2024-06-26,281,South
310,414,2024-08-20,54,East
311,417,2024-03-30,568,North
312,75,2024-10-13,565,East
313,120,2024-06-23,575,East
314,257,2024-10-02,503,West
315,496,2024-10-15,299,East
316,472,2024-08-22,78,West
317,265,2024-02-29,119,West
318,226,2024-11-20,285,East
319,362,2024-07-30,578,North
320,255,2024-05-14,344,North
321,351,2024-07-23,127,South
322,322,2024-08-31,412,South
323,276,2024-10-20,237,South
324,205,2024-09-12,290,South
325,212,2024-05-15,284,South
326,365,2024-05-07,209,North
327,81,2024-03-02,554,North
328,44,2024-10-04,543,East
329,323,2024-11-13,554,East
330,188,2024-09-08,573,East
331,228,2024-07-22,181,North
332,434,2024-09-26,539,North
333,356,2024-09-14,453,South
334,124,2024-08-22,580,West
335,9,2024-06-10,62,South
336,104,2024-07-13,383,East
337,266,2024-11-09,241,East
338,276,2024-05-01,532,East
339,189,2024-07-06,560,West
340,430,2024-04-17,431,East
341,287,2024-07-24,511,South
342,135,2024-10-19,284,North
343,242,2024-05-18,492,West
344,150,2024-04-10,203,West
345,181,2024-01-05,481,West
346,530,2024-03-09,596,East
347,308,2024-09-06,306,North
348,102,2024-07-22,217,North
349,261,2024-04-20,537,North
350,343,2024-08-18,316,East
351,264,2024-07-03,402,North
352,125,2024-07-29,409,South
353,179,2024-10-22,341,East
354,523,2024-06-15,549,West
355,391,2024-02-10,343,West
356,149,2024-11-19,221,East
357,415,2024-08-03,123,North
358,352,2024-03-23,283,East
359,299,2024-06-11,323,West
360,456,2024-05-18,421,West
361,172,2024-07-30,238,North
362,241,2024-03-05,307,North
363,171,2024-04-17,456,North
364,66,2024-02-18,534,North
365,407,2024-01-14,586,North
366,269,2024-02-23,209,North
367,317,2024-07-18,284,South
368,454,2024-05-25,179,South
369,175,2024-09-26,79,North
370,334,2024-07-01,537,West
371,279,2024-10-03,505,South
372,182,2024-10-03,517,West
373,547,2024-09-25,367,East
374,233,2024-09-03,141,West
375,375,2024-06-06,472,East
376,311,2024-03-20,60,North
377,140,2024-09-24,402,East
378,548,2024-08-28,58,West
379,307,2024-09-01,59,West
380,237,2024-05-29,57,East
381,422,2024-04-06,497,West
382,168,2024-05-07,449,West
383,270,2024-04-22,131,West
384,246,2024-11-16,579,East
385,545,2024-05-25,325,West
386,71,2024-04-06,236,South
387,114,2024-05-28,516,West
388,504,2024-05-19,242,East
389,156,2024-01-10,100,North
390,105,2024-04-05,338,East
391,449,2024-03-05,58,South
392,155,2024-02-16,65,West
393,351,2024-04-21,480,East
394,381,2024-09-12,524,North
395,83,2024-06-18,199,North
396,402,2024-05-16,123,West
397,197,2024-04-02,306,West
398,125,2024-01-07,304,West
399,254,2024-08-14,84,South
400,97,2024-08-23,583,South
401,399,2024-08-30,369,East
402,44,2024-03-22,583,North
403,493,2024-05-09,355,South
404,54,2024-07-03,273,North
405,445,2024-04-30,382,North
406,283,2024-03-26,172,West
407,10,2024-05-04,93,West
408,159,2024-11-01,430,North
409,162,2024-05-07,561,North
410,347,2024-11-12,111,North
411,158,2024-07-01,599,North
412,500,2024-03-05,288,East
413,356,2024-10-12,499,South
414,387,2024-01-11,416,South
415,41,2024-05-08,546,West
416,302,2024-10-13,551,South
417,192,2024-10-17,406,East
418,282,2024-08-27,214,North
419,159,2024-09-28,510,East
