product_id,company_id,product_name,category,unit_cost,selling_price
1,3,Pharma Product 1,Pharma,20.02,194.16
2,1,Electronics Product 2,Electronics,30.09,193.65
3,3,Pharma Product 3,Pharma,76.66,174.54
4,3,Pharma Product 4,Pharma,47.97,122.98
5,1,Electronics Product 5,Electronics,30.94,180.2
6,3,Pharma Product 6,Pharma,27.9,184.99
7,3,Pharma Product 7,Pharma,47.76,164.92
8,2,FMCG Product 8,FMCG,82.85,120.65
9,1,Electronics Product 9,Electronics,72.83,154.03
10,1,Electronics Product 10,Electronics,29.38,196.35
11,1,Electronics Product 11,Electronics,18.35,129.67
12,2,FMCG Product 12,FMCG,64.34,200.71
13,3,Pharma Product 13,Pharma,51.35,132.48
14,2,FMCG Product 14,FMCG,17.09,149.32
15,3,Pharma Product 15,Pharma,65.67,206.17
16,3,Pharma Product 16,Pharma,27.31,126.96
17,3,Pharma Product 17,Pharma,30.51,148.94
18,1,Electronics Product 18,Electronics,86.98,206.65
19,2,FMCG Product 19,FMCG,35.02,183.57
20,2,FMCG Product 20,FMCG,24.64,155.53
21,3,Pharma Product 21,Pharma,34.03,213.67
22,3,Pharma Product 22,Pharma,16.43,183.5
23,3,Pharma Product 23,Pharma,75.62,136.34
24,2,FMCG Product 24,FMCG,34.3,212.54
25,3,Pharma Product 25,Pharma,60.13,188.46
26,1,Electronics Product 26,Electronics,30.61,123.21
27,2,FMCG Product 27,FMCG,46.1,126.62
28,3,Pharma Product 28,Pharma,88.87,151.47
29,3,Pharma Product 29,Pharma,54.93,208.47
30,3,Pharma Product 30,Pharma,51.3,146.49
31,1,Electronics Product 31,Electronics,77.05,173.9
32,3,Pharma Product 32,Pharma,62.61,209.78
33,2,FMCG Product 33,FMCG,42.58,219.73
34,1,Electronics Product 34,Electronics,55.86,129.09
35,1,Electronics Product 35,Electronics,87.5,135.28
36,1,Electronics Product 36,Electronics,81.29,162.22
37,1,Electronics Product 37,Electronics,44.63,179.59
38,2,FMCG Product 38,FMCG,57.62,217.11
39,1,Electronics Product 39,Electronics,71.23,131.46
40,3,Pharma Product 40,Pharma,77.58,196.86
41,2,FMCG Product 41,FMCG,20.04,163.48
42,2,FMCG Product 42,FMCG,10.29,192.21
43,3,Pharma Product 43,Pharma,33.71,170.06
44,1,Electronics Product 44,Electronics,55.69,130.64
45,3,Pharma Product 45,Pharma,36.86,183.89
46,3,Pharma Product 46,Pharma,27.9,157.39
47,1,Electronics Product 47,Electronics,58.54,197.86
48,3,Pharma Product 48,Pharma,92.66,179.89
49,2,FMCG Product 49,FMCG,11.75,212.91
50,2,FMCG Product 50,FMCG,31.55,144.09
51,3,Pharma Product 51,Pharma,95.23,128.57
52,2,FMCG Product 52,FMCG,83.44,217.8
53,3,Pharma Product 53,Pharma,78.93,132.84
54,2,FMCG Product 54,FMCG,95.22,136.51
55,3,Pharma Product 55,Pharma,88.52,162.31
56,1,Electronics Product 56,Electronics,93.6,195.53
57,3,Pharma Product 57,Pharma,28.1,151.17
58,3,Pharma Product 58,Pharma,68.49,163.81
59,3,Pharma Product 59,Pharma,50.63,144.79
60,1,Electronics Product 60,Electronics,40.43,178.83
61,1,Electronics Product 61,Electronics,62.96,120.72
62,3,Pharma Product 62,Pharma,66.8,142.89
63,1,Electronics Product 63,Electronics,87.37,127.09
64,1,Electronics Product 64,Electronics,35.06,168.54
65,3,Pharma Product 65,Pharma,21.91,213.55
66,3,Pharma Product 66,Pharma,61.86,144.3
67,2,FMCG Product 67,FMCG,82.67,139.04
68,1,Electronics Product 68,Electronics,69.31,155.43
69,2,FMCG Product 69,FMCG,52.03,192.91
70,3,Pharma Product 70,Pharma,68.81,184.62
71,1,Electronics Product 71,Electronics,46.24,153.93
72,1,Electronics Product 72,Electronics,32.38,139.02
73,2,FMCG Product 73,FMCG,22.62,138.35
74,2,FMCG Product 74,FMCG,32.48,212.33
75,2,FMCG Product 75,FMCG,82.72,205.6
76,1,Electronics Product 76,Electronics,14.55,219.93
77,1,Electronics Product 77,Electronics,97.21,212.64
78,1,Electronics Product 78,Electronics,24.97,168.56
79,1,Electronics Product 79,Electronics,87.82,210.24
80,1,Electronics Product 80,Electronics,44.11,218.53
81,2,FMCG Product 81,FMCG,93.39,198.51
82,2,FMCG Product 82,FMCG,48.07,215.73
83,3,Pharma Product 83,Pharma,69.57,168.67
84,1,Electronics Product 84,Electronics,36.7,216.87
85,3,Pharma Product 85,Pharma,76.22,126.1
86,2,FMCG Product 86,FMCG,15.14,178.42
87,3,Pharma Product 87,Pharma,92.74,173.11
88,1,Electronics Product 88,Electronics,96.47,128.01
89,1,Electronics Product 89,Electronics,16.17,126.8
90,1,Electronics Product 90,Electronics,46.34,214.16
91,3,Pharma Product 91,Pharma,32.16,179.45
92,3,Pharma Product 92,Pharma,17.38,185.74
93,3,Pharma Product 93,Pharma,57.05,213.47
94,1,Electronics Product 94,Electronics,70.28,151.42
95,2,FMCG Product 95,FMCG,45.62,187.17
96,2,FMCG Product 96,FMCG,51.15,212.9
97,1,Electronics Product 97,Electronics,10.84,182.12
98,3,Pharma Product 98,Pharma,99.65,127.33
99,1,Electronics Product 99,Electronics,55.53,133.25
100,2,FMCG Product 100,FMCG,89.28,207.93
101,2,FMCG Product 101,FMCG,35.65,163.82
102,3,Pharma Product 102,Pharma,73.32,181.17
103,3,Pharma Product 103,Pharma,57.6,186.79
104,3,Pharma Product 104,Pharma,36.94,186.34
105,1,Electronics Product 105,Electronics,33.8,208.97
106,3,Pharma Product 106,Pharma,59.79,147.23
107,3,Pharma Product 107,Pharma,28.96,154.29
108,3,Pharma Product 108,Pharma,67.08,146.4
109,2,FMCG Product 109,FMCG,32.6,210.82
110,1,Electronics Product 110,Electronics,18.31,162.36
111,2,FMCG Product 111,FMCG,13.97,153.36
112,1,Electronics Product 112,Electronics,67.34,146.2
113,3,Pharma Product 113,Pharma,49.77,190.57
114,3,Pharma Product 114,Pharma,10.87,127.52
115,3,Pharma Product 115,Pharma,91.35,174.56
116,2,FMCG Product 116,FMCG,62.43,134.81
117,1,Electronics Product 117,Electronics,13.76,156.47
118,1,Electronics Product 118,Electronics,90.9,141.01
119,1,Electronics Product 119,Electronics,70.02,155.37
120,3,Pharma Product 120,Pharma,89.57,160.64
121,3,Pharma Product 121,Pharma,77.45,212.58
122,1,Electronics Product 122,Electronics,87.81,217.62
123,1,Electronics Product 123,Electronics,89.33,122.48
124,3,Pharma Product 124,Pharma,93.2,198.24
125,2,FMCG Product 125,FMCG,82.2,206.41
126,1,Electronics Product 126,Electronics,34.01,198.74
127,1,Electronics Product 127,Electronics,44.43,123.87
128,2,FMCG Product 128,FMCG,30.02,201.66
129,2,FMCG Product 129,FMCG,41.47,202.05
130,1,Electronics Product 130,Electronics,30.06,186.0
131,2,FMCG Product 131,FMCG,39.54,206.44
132,2,FMCG Product 132,FMCG,41.6,170.94
133,3,Pharma Product 133,Pharma,98.3,173.62
134,1,Electronics Product 134,Electronics,20.38,217.04
135,1,Electronics Product 135,Electronics,62.25,218.36
136,1,Electronics Product 136,Electronics,19.76,163.46
137,3,Pharma Product 137,Pharma,80.78,163.64
138,3,Pharma Product 138,Pharma,20.41,209.95
139,1,Electronics Product 139,Electronics,32.93,190.88
140,1,Electronics Product 140,Electronics,56.79,200.65
141,3,Pharma Product 141,Pharma,74.75,194.2
142,3,Pharma Product 142,Pharma,27.73,163.13
143,3,Pharma Product 143,Pharma,92.87,182.32
144,3,Pharma Product 144,Pharma,86.32,191.98
145,2,FMCG Product 145,FMCG,55.64,186.69
146,2,FMCG Product 146,FMCG,46.22,149.57
147,1,Electronics Product 147,Electronics,27.27,186.49
148,2,FMCG Product 148,FMCG,70.96,210.28
149,3,Pharma Product 149,Pharma,61.22,160.61
150,1,Electronics Product 150,Electronics,37.35,141.02
151,3,Pharma Product 151,Pharma,64.6,152.22
152,2,FMCG Product 152,FMCG,49.79,141.37
153,2,FMCG Product 153,FMCG,81.44,215.98
154,3,Pharma Product 154,Pharma,25.27,128.48
155,3,Pharma Product 155,Pharma,69.75,181.93
156,1,Electronics Product 156,Electronics,83.66,195.11
157,3,Pharma Product 157,Pharma,37.94,200.66
158,1,Electronics Product 158,Electronics,12.2,144.48
159,2,FMCG Product 159,FMCG,65.01,196.85
160,2,FMCG Product 160,FMCG,47.3,182.98
161,1,Electronics Product 161,Electronics,74.65,158.4
162,2,FMCG Product 162,FMCG,31.96,185.61
163,1,Electronics Product 163,Electronics,90.34,206.04
164,1,Electronics Product 164,Electronics,80.06,141.88
165,3,Pharma Product 165,Pharma,56.62,125.02
166,1,Electronics Product 166,Electronics,92.57,132.14
167,1,Electronics Product 167,Electronics,82.13,186.76
168,3,Pharma Product 168,Pharma,63.59,215.0
169,2,FMCG Product 169,FMCG,65.14,191.93
170,3,Pharma Product 170,Pharma,48.41,210.69
171,2,FMCG Product 171,FMCG,90.75,194.37
172,2,FMCG Product 172,FMCG,50.51,195.18
173,3,Pharma Product 173,Pharma,34.96,197.77
174,2,FMCG Product 174,FMCG,66.41,147.46
175,1,Electronics Product 175,Electronics,74.22,143.45
176,2,FMCG Product 176,FMCG,38.77,174.02
177,1,Electronics Product 177,Electronics,23.57,158.3
178,1,Electronics Product 178,Electronics,73.58,126.42
179,2,FMCG Product 179,FMCG,39.78,166.59
180,1,Electronics Product 180,Electronics,28.62,162.01
181,3,Pharma Product 181,Pharma,95.15,121.95
