shipment_id,supplier_id,expected_delivery_date,actual_delivery_date,shipping_cost
1,22,2024-01-10,2024-01-10,7522.45
2,8,2024-01-23,2024-01-24,14525.52
3,44,2024-09-25,2024-09-26,44159.0
4,48,2024-10-02,2024-10-02,31070.56
5,48,2024-02-07,2024-02-07,11371.57
6,40,2024-01-11,2024-01-12,7061.08
7,12,2024-03-08,2024-03-08,33469.77
8,7,2024-06-07,2024-06-12,25528.31
9,38,2024-03-29,2024-04-03,7878.09
10,32,2024-02-25,2024-02-25,31773.98
11,13,2024-04-23,2024-04-23,24179.52
12,8,2024-07-25,2024-07-25,48913.4
13,9,2024-10-22,2024-10-24,19471.54
14,3,2024-04-20,2024-04-25,31688.84
15,8,2024-06-21,2024-06-21,17325.2
16,45,2024-08-01,2024-08-01,21646.73
17,16,2024-03-26,2024-03-27,46655.4
18,7,2024-01-22,2024-01-22,40597.35
19,11,2024-07-12,2024-07-17,5703.36
20,1,2024-09-07,2024-09-07,5325.08
21,42,2024-02-16,2024-02-19,31717.87
22,45,2024-05-26,2024-05-27,41333.53
23,9,2024-09-01,2024-09-04,14277.21
24,29,2024-05-19,2024-05-21,23541.41
25,45,2024-03-31,2024-04-02,6692.95
26,32,2024-04-03,2024-04-06,32542.24
27,20,2024-02-16,2024-02-19,20653.41
28,16,2024-01-04,2024-01-06,13635.63
29,40,2024-09-29,2024-09-29,21285.56
30,15,2024-10-04,2024-10-06,25889.72
31,4,2024-04-17,2024-04-17,13717.35
32,31,2024-03-18,2024-03-21,27388.17
33,3,2024-03-23,2024-03-26,7431.24
34,14,2024-07-06,2024-07-06,24560.22
35,49,2024-06-21,2024-06-23,25391.64
36,4,2024-02-24,2024-02-27,46618.76
37,2,2024-04-01,2024-04-01,26827.76
38,16,2024-03-01,2024-03-01,37463.14
39,27,2024-10-24,2024-10-24,13943.81
40,50,2024-06-16,2024-06-16,9955.98
41,16,2024-04-27,2024-04-27,38198.65
42,15,2024-04-13,2024-04-14,8308.84
43,4,2024-10-27,2024-10-28,45072.0
44,40,2024-03-16,2024-03-16,25474.59
45,9,2024-07-18,2024-07-18,25598.31
46,23,2024-04-10,2024-04-13,48900.02
47,9,2024-04-14,2024-04-14,6444.26
48,18,2024-10-19,2024-10-19,11142.57
49,27,2024-08-27,2024-08-28,12704.06
50,19,2024-06-25,2024-06-25,32163.62
51,36,2024-03-29,2024-03-31,43475.18
52,34,2024-02-15,2024-02-16,27014.6
53,31,2024-04-21,2024-04-23,42664.51
