Product ID,Order Date,Sales,Quantity
FUR-BO-10001798,2017-11-12,261.96,1
FUR-BO-10002545,2016-10-16,626.352,1
FUR-BO-10002545,2017-01-01,532.3992,1
FUR-BO-10002613,2016-10-16,899.136,1
FUR-BO-10004834,2016-09-18,3083.43,1
FUR-CH-10000454,2017-11-12,731.94,1
FUR-CH-10000454,2017-12-10,1951.84,1
FUR-CH-10000513,2016-05-01,831.936,1
FUR-CH-10000863,2018-06-03,301.96,1
FUR-CH-10001146,2016-05-01,213.115,1
FUR-CH-10001146,2017-11-12,81.424,1
FUR-CH-10002774,2018-07-22,71.372,1
FUR-CH-10003061,2016-04-24,89.99,1
FUR-CH-10003817,2015-08-09,340.144,1
FUR-CH-10003968,2017-06-18,319.41,1
FUR-CH-10004063,2015-03-01,457.568,1
FUR-CH-10004063,2015-12-27,600.558,1
FUR-CH-10004218,2017-01-01,212.058,1
FUR-CH-10004287,2015-09-13,1740.06,1
FUR-CH-10004698,2016-11-27,396.802,1
FUR-FU-10000260,2018-12-09,9.708,1
FUR-FU-10000397,2016-11-27,79.76,1
FUR-FU-10000521,2015-10-25,93.888,1
FUR-FU-10000629,2018-11-11,96.53,1
FUR-FU-10001487,2015-06-14,48.86,1
FUR-FU-10001706,2016-04-24,6.16,1
FUR-FU-10001706,2017-10-15,43.12,1
FUR-FU-10001934,2018-12-30,41.96,1
FUR-FU-10002157,2017-06-18,47.04,1
FUR-FU-10003194,2015-11-29,19.3,1
FUR-FU-10003664,2017-12-10,190.92,1
FUR-FU-10003708,2016-05-01,97.04,1
FUR-FU-10003773,2017-11-12,238.56,1
FUR-FU-10003799,2016-01-31,53.34,1
FUR-FU-10004006,2016-11-13,102.36,1
FUR-FU-10004848,2016-09-18,124.2,1
FUR-FU-10004848,2017-09-10,82.8,1
FUR-TA-10000577,2016-09-25,1044.63,1
FUR-TA-10000577,2016-10-16,957.5775,1
FUR-TA-10001539,2015-06-14,1706.184,1
FUR-TA-10001768,2016-03-06,787.53,1
FUR-TA-10004534,2015-09-20,617.7,1
OFF-AP-10000326,2017-03-19,157.92,1
OFF-AP-10000358,2017-09-10,77.88,1
OFF-AP-10000891,2015-09-20,52.448,1
OFF-AP-10001058,2018-12-23,839.43,1
OFF-AP-10001492,2017-12-10,60.34,1
OFF-AP-10002118,2017-06-18,208.16,1
OFF-AP-10002311,2016-11-27,68.81,1
OFF-AP-10002518,2015-09-13,177.98,1
OFF-AP-10002684,2018-04-22,97.264,1
OFF-AP-10002892,2015-06-14,114.9,1
OFF-AR-10000246,2017-12-10,19.46,1
OFF-AR-10000380,2017-11-05,75.96,1
OFF-AR-10000390,2018-11-25,3.304,1
OFF-AR-10000940,2018-09-23,8.82,1
OFF-AR-10001149,2017-10-15,11.52,1
OFF-AR-10001547,2016-05-29,6.63,1
OFF-AR-10001683,2016-09-18,15.76,1
OFF-AR-10001868,2017-06-18,1.68,1
OFF-AR-10001940,2016-12-18,3.28,1
OFF-AR-10002053,2015-10-18,14.9,1
OFF-AR-10002656,2015-09-13,32.064,1
OFF-AR-10002671,2015-12-06,1113.024,1
OFF-AR-10002833,2015-06-14,7.28,1
OFF-AR-10003056,2015-08-30,8.56,1
OFF-AR-10003514,2016-10-16,19.9,1
OFF-AR-10004027,2015-03-22,6.048,1
OFF-AR-10004042,2016-09-18,86.304,1
OFF-AR-10004441,2015-09-13,9.936,1
OFF-AR-10004685,2015-03-22,7.408,1
OFF-AR-10004930,2017-09-17,20.1,1
OFF-BI-10000343,2018-07-08,2.946,1
OFF-BI-10000474,2016-09-18,9.618,1
OFF-BI-10000756,2016-11-27,2.544,1
OFF-BI-10001078,2016-11-27,25.824,1
OFF-BI-10001460,2017-06-18,48.48,1
OFF-BI-10001525,2016-09-18,6.858,1
OFF-BI-10001634,2017-01-22,11.648,1
OFF-BI-10001721,2018-06-17,51.312,1
OFF-BI-10001890,2017-12-03,7.16,1
OFF-BI-10002215,2015-08-30,22.72,1
OFF-BI-10002309,2017-06-18,16.74,1
OFF-BI-10002609,2017-09-03,1.788,1
OFF-BI-10002735,2017-12-10,171.55,1
OFF-BI-10002794,2016-11-13,36.882,1
OFF-BI-10002852,2016-01-31,32.96,1
OFF-BI-10003274,2018-11-11,2.388,1
OFF-BI-10003291,2017-03-12,17.46,1
OFF-BI-10003650,2016-04-10,157.794,1
OFF-BI-10003656,2017-12-10,407.976,1
OFF-BI-10003910,2015-06-14,18.504,1
OFF-BI-10003910,2017-06-18,30.84,1
OFF-BI-10003981,2017-11-05,27.24,1
OFF-BI-10004002,2017-11-12,27.68,1
OFF-BI-10004182,2018-12-09,1.248,1
OFF-BI-10004410,2016-04-24,38.22,1
OFF-BI-10004654,2017-09-24,4.616,1
OFF-BI-10004738,2018-11-11,5.682,1
OFF-BI-10004781,2017-10-15,76.176,1
